PRODUCT_LINE,GENDER,AGE,MARITAL_STATUS,PROFESSION
Personal Accessories,Male,27,Single,Professional
Personal Accessories,Female,39,Married,Other
Mountaineering Equipment,Female,39,Married,Other
Personal Accessories,Female,56,Unspecified,Hospitality
Golf Equipment,Male,45,Married,Retired
Golf Equipment,Male,45,Married,Retired
Camping Equipment,Female,39,Married,Other
Camping Equipment,Female,49,Married,Other
Outdoor Protection,Female,49,Married,Other
Golf Equipment,Male,47,Married,Retired
Golf Equipment,Male,47,Married,Retired
Mountaineering Equipment,Male,21,Single,Retail
Personal Accessories,Female,66,Married,Other
Camping Equipment,Female,35,Married,Professional
Mountaineering Equipment,Male,20,Single,Sales
Mountaineering Equipment,Male,20,Single,Sales
Mountaineering Equipment,Male,20,Single,Sales
Personal Accessories,Female,37,Single,Other
Camping Equipment,Male,42,Married,Other
Camping Equipment,Female,24,Married,Retail
Personal Accessories,Female,24,Married,Retail
Mountaineering Equipment,Male,29,Single,Retail
Camping Equipment,Male,29,Single,Retail
Camping Equipment,Male,43,Married,Trades
Camping Equipment,Male,43,Married,Trades
Camping Equipment,Female,43,Unspecified,Hospitality
Camping Equipment,Female,43,Unspecified,Hospitality
Camping Equipment,Female,43,Unspecified,Hospitality
Camping Equipment,Female,43,Unspecified,Hospitality
Mountaineering Equipment,Male,29,Single,Other
Personal Accessories,Male,41,Married,Professional
Camping Equipment,Male,32,Married,Other
Camping Equipment,Male,34,Married,Sales
Personal Accessories,Female,18,Single,Student
Camping Equipment,Female,31,Married,Executive
Camping Equipment,Male,28,Single,Trades
Mountaineering Equipment,Female,24,Single,Student
Camping Equipment,Female,29,Single,Other
Camping Equipment,Female,29,Single,Other
Personal Accessories,Female,68,Unspecified,Hospitality
Camping Equipment,Male,42,Married,Trades
Camping Equipment,Male,42,Married,Trades
Camping Equipment,Female,33,Married,Hospitality
Camping Equipment,Female,33,Married,Hospitality
Camping Equipment,Female,33,Married,Hospitality
Golf Equipment,Female,54,Married,Other
Golf Equipment,Female,54,Married,Other
Golf Equipment,Female,54,Married,Other
Golf Equipment,Male,38,Married,Executive
Golf Equipment,Male,38,Married,Executive
Golf Equipment,Male,38,Married,Executive
Camping Equipment,Male,24,Single,Other
Mountaineering Equipment,Female,24,Unspecified,Other
Mountaineering Equipment,Female,24,Unspecified,Other
Personal Accessories,Female,20,Single,Retail
Camping Equipment,Female,20,Single,Retail
Personal Accessories,Female,29,Single,Professional
Camping Equipment,Male,40,Married,Other
Personal Accessories,Female,49,Unspecified,Hospitality
Camping Equipment,Female,26,Single,Other
Personal Accessories,Female,51,Unspecified,Hospitality
Mountaineering Equipment,Male,29,Single,Professional
Personal Accessories,Female,33,Married,Executive
Golf Equipment,Male,47,Married,Professional
Camping Equipment,Female,38,Married,Other
Personal Accessories,Female,39,Married,Executive
Mountaineering Equipment,Male,29,Single,Professional
Personal Accessories,Male,29,Single,Professional
Camping Equipment,Female,33,Married,Executive
Mountaineering Equipment,Female,20,Single,Professional
Mountaineering Equipment,Male,31,Married,Other
Personal Accessories,Female,31,Single,Other
Mountaineering Equipment,Female,42,Married,Other
Camping Equipment,Female,42,Married,Other
Personal Accessories,Female,42,Married,Other
Camping Equipment,Male,21,Single,Trades
Personal Accessories,Female,65,Married,Other
Outdoor Protection,Female,65,Married,Other
Camping Equipment,Female,41,Unspecified,Hospitality
Outdoor Protection,Female,41,Unspecified,Hospitality
Personal Accessories,Male,17,Single,Student
Golf Equipment,Male,55,Married,Trades
Golf Equipment,Male,55,Married,Trades
Golf Equipment,Male,55,Married,Trades
Golf Equipment,Male,55,Married,Trades
Personal Accessories,Female,52,Married,Executive
Camping Equipment,Male,35,Married,Trades
Personal Accessories,Female,34,Single,Retail
Camping Equipment,Male,25,Single,Other
Camping Equipment,Male,25,Single,Other
Camping Equipment,Male,25,Single,Other
Personal Accessories,Female,18,Single,Retail
Personal Accessories,Female,19,Single,Other
Mountaineering Equipment,Male,36,Single,Professional
Personal Accessories,Male,33,Married,Professional
Camping Equipment,Male,33,Married,Sales
Personal Accessories,Female,30,Single,Professional
Camping Equipment,Female,29,Single,Other
Camping Equipment,Female,29,Single,Other
Mountaineering Equipment,Male,21,Single,Sales
Outdoor Protection,Male,21,Single,Sales
Camping Equipment,Female,44,Married,Other
Mountaineering Equipment,Male,21,Single,Student
Mountaineering Equipment,Male,21,Single,Student
Golf Equipment,Male,46,Married,Trades
Personal Accessories,Female,47,Married,Sales
Personal Accessories,Female,34,Single,Professional
Personal Accessories,Female,24,Single,Professional
Personal Accessories,Female,27,Single,Retail
Personal Accessories,Female,28,Single,Professional
Camping Equipment,Male,26,Married,Other
Personal Accessories,Male,26,Married,Other
Mountaineering Equipment,Male,29,Single,Professional
Mountaineering Equipment,Male,29,Single,Professional
Personal Accessories,Male,29,Single,Professional
Personal Accessories,Female,23,Single,Professional
Personal Accessories,Male,27,Single,Other
Outdoor Protection,Female,26,Married,Executive
Personal Accessories,Female,26,Married,Executive
Camping Equipment,Female,20,Single,Other
Camping Equipment,Male,26,Single,Other
Camping Equipment,Male,33,Married,Other
Camping Equipment,Male,33,Married,Other
Mountaineering Equipment,Female,19,Single,Other
Mountaineering Equipment,Female,19,Single,Other
Camping Equipment,Female,26,Married,Other
Camping Equipment,Female,26,Married,Other
Camping Equipment,Female,40,Married,Other
Camping Equipment,Female,40,Married,Other
Camping Equipment,Female,40,Married,Other
Mountaineering Equipment,Male,40,Single,Other
Camping Equipment,Male,40,Single,Other
Camping Equipment,Male,40,Single,Other
Camping Equipment,Male,40,Single,Other
Camping Equipment,Male,40,Single,Other
Mountaineering Equipment,Male,44,Single,Other
Mountaineering Equipment,Male,44,Single,Other
Golf Equipment,Male,43,Married,Trades
Golf Equipment,Male,43,Married,Trades
Personal Accessories,Female,24,Single,Retail
Golf Equipment,Male,28,Unspecified,Sales
Mountaineering Equipment,Female,22,Single,Professional
Outdoor Protection,Female,20,Married,Retail
Personal Accessories,Female,46,Married,Retail
Camping Equipment,Male,31,Unspecified,Sales
Mountaineering Equipment,Male,31,Unspecified,Sales
Mountaineering Equipment,Male,31,Unspecified,Sales
Mountaineering Equipment,Male,31,Unspecified,Sales
Golf Equipment,Male,31,Unspecified,Sales
Camping Equipment,Female,23,Single,Student
Camping Equipment,Female,23,Single,Student
Mountaineering Equipment,Female,37,Married,Other
Mountaineering Equipment,Female,37,Married,Other
Personal Accessories,Female,50,Married,Other
Personal Accessories,Female,18,Single,Student
Mountaineering Equipment,Male,30,Single,Trades
Personal Accessories,Female,67,Married,Other
Personal Accessories,Male,30,Married,Other
Golf Equipment,Male,24,Single,Professional
Camping Equipment,Female,31,Married,Other
Outdoor Protection,Female,31,Married,Other
Camping Equipment,Male,35,Married,Other
Golf Equipment,Male,41,Married,Trades
Golf Equipment,Male,41,Married,Trades
Personal Accessories,Female,25,Single,Other
Personal Accessories,Female,23,Single,Other
Personal Accessories,Female,25,Single,Other
Golf Equipment,Female,30,Married,Hospitality
Camping Equipment,Male,49,Unspecified,Trades
Camping Equipment,Male,39,Married,Other
Camping Equipment,Female,34,Married,Other
Camping Equipment,Female,34,Married,Other
Camping Equipment,Male,28,Single,Student
Camping Equipment,Female,42,Married,Other
Personal Accessories,Female,27,Single,Other
Camping Equipment,Male,25,Single,Professional
Golf Equipment,Male,55,Married,Other
Camping Equipment,Male,27,Married,Other
Golf Equipment,Male,27,Married,Other
Personal Accessories,Female,19,Single,Professional
Golf Equipment,Male,50,Married,Professional
Mountaineering Equipment,Female,33,Married,Other
Mountaineering Equipment,Female,33,Married,Other
Camping Equipment,Male,35,Married,Sales
Camping Equipment,Male,26,Married,Sales
Camping Equipment,Male,26,Married,Sales
Mountaineering Equipment,Female,31,Married,Retail
Mountaineering Equipment,Female,31,Married,Retail
Camping Equipment,Male,42,Married,Sales
