2022-06-21T01:59:20.434Z | 1.0.7 | INFO | ibmfl.util.config                                  | Getting Aggregator details from arguments.
2022-06-21T01:59:20.434Z | 1.0.7 | INFO | ibmfl.util.config                                  | No data config provided for this setup.
2022-06-21T01:59:20.434Z | 1.0.7 | INFO | ibmfl.util.config                                  | No metrics recorder config provided for this setup.
2022-06-21T01:59:20.434Z | 1.0.7 | INFO | ibmfl.util.config                                  | No metrics config provided for this setup.
2022-06-21T01:59:20.434Z | 1.0.7 | INFO | ibmfl.util.config                                  | No evidencia recordeer config provided for this setup.
2022-06-21T01:59:20.435Z | 1.0.7 | INFO | ibmfl.aggregator.protohandler.proto_handler        | State: States.START
2022-06-21T01:59:20.435Z | 1.0.7 | INFO | ibmfl.connection.sws_connection                    | SWSReceiver initialize() with ssl_context <ssl.SSLContext object at 0x7f9ad4ce8e40>
2022-06-21T01:59:20.436Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Starting periodic monitor
2022-06-21T01:59:20.436Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Initializing connection
2022-06-21T01:59:20.436Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Initialized connection
2022-06-21T01:59:20.436Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T01:59:20.462Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State: States.START
2022-06-21T01:59:20.463Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T01:59:20.479Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State: States.REGISTER_WAIT
2022-06-21T02:00:20.691Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:00:20.697Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 60, max_timeout = 43200
2022-06-21T02:00:20.697Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:00:20.697Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:00:20.848Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T02:00:20.853Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T02:01:21.070Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:01:21.075Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 121, max_timeout = 43200
2022-06-21T02:01:21.075Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:01:21.075Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:01:21.216Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T02:01:21.221Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T02:02:21.462Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:02:21.468Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 181, max_timeout = 43200
2022-06-21T02:02:21.473Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:02:21.478Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:02:21.590Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T02:02:21.596Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T02:03:21.812Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:03:21.818Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 241, max_timeout = 43200
2022-06-21T02:03:21.823Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:03:21.824Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:03:21.963Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T02:03:21.969Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T02:04:22.185Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:04:22.191Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 302, max_timeout = 43200
2022-06-21T02:04:22.196Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:04:22.201Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:04:22.330Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T02:04:22.330Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T02:05:22.538Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:05:22.544Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 362, max_timeout = 43200
2022-06-21T02:05:22.549Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:05:22.554Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:05:22.676Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T02:05:22.676Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T02:06:22.878Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:06:22.884Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 422, max_timeout = 43200
2022-06-21T02:06:22.889Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:06:22.889Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:06:22.996Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T02:06:23.002Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T02:07:23.242Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:07:23.247Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 483, max_timeout = 43200
