2022-06-21T11:20:39.254Z | 1.0.7 | INFO | ibmfl.util.config                                  | Getting Aggregator details from arguments.
2022-06-21T11:20:39.254Z | 1.0.7 | INFO | ibmfl.util.config                                  | No data config provided for this setup.
2022-06-21T11:20:39.254Z | 1.0.7 | INFO | ibmfl.util.config                                  | No metrics recorder config provided for this setup.
2022-06-21T11:20:39.254Z | 1.0.7 | INFO | ibmfl.util.config                                  | No metrics config provided for this setup.
2022-06-21T11:20:39.254Z | 1.0.7 | INFO | ibmfl.util.config                                  | No evidencia recordeer config provided for this setup.
2022-06-21T11:20:39.255Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | unpack_model_def_wrk_dir, fl_envs.working_directory = /tmp
2022-06-21T11:20:39.695Z | 1.0.7 | INFO | ibmfl.aggregator.protohandler.proto_handler        | State: States.START
2022-06-21T11:20:39.709Z | 1.0.7 | INFO | ibmfl.connection.sws_connection                    | SWSReceiver initialize() with ssl_context <ssl.SSLContext object at 0x7f2759ed3e40>
2022-06-21T11:20:39.710Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Starting periodic monitor
2022-06-21T11:20:39.710Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Initializing connection
2022-06-21T11:20:39.710Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Initialized connection
2022-06-21T11:20:39.710Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T11:20:39.727Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State: States.START
2022-06-21T11:20:39.728Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T11:20:39.743Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State: States.REGISTER_WAIT
2022-06-21T11:21:39.922Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T11:21:39.928Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 60, max_timeout = 43200
2022-06-21T11:21:39.933Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T11:21:39.933Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T11:21:40.052Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T11:21:40.062Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T11:22:40.251Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T11:22:40.257Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 121, max_timeout = 43200
2022-06-21T11:22:40.262Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
